TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY
1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,18729
1610612738,BOS,Celtics,1800,Boston,TD Garden,18624
1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,
1610612741,CHI,Bulls,1966,Champaign,United Center,100000
1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,19200
1610612743,DEN,Nuggets,1976,Denver,Pepsi Center,19099
1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104
1610612746,LAC,Clippers,1970,Los Angeles,Staples Center,19060
1610612747,LAL,Lakers,1948,Los Angeles,Staples Center,19060
1610612748,MIA,Heat,1988,Miami,AmericanAirlines Arena,19600
1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500
1610612750,MIN,Timberwolves,1989,Champaign,Target Center,19356
1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,
1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763
1610612753,ORL,Magic,1989,Orlando,Amway Center,0
1610612754,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345
1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,
1610612756,PHX,Suns,1968,Phoenix,Talking Stick Resort Arena,
1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,100000
1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,18694
1610612760,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,19163
1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,19800
1610612762,UTA,Jazz,1974,Utah,Vivint Smart Home Arena,20148
1610612763,MEM,Grizzlies,2032,Memphis,FedExForum,18119
1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647
1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,21000
1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,19026
1610612739,CLE,Cavaliers,1970,Cleveland,Quicken Loans Arena,20562
1610612744,GSW,Warriors,1946,Golden State,Chase Center,19596
1610612744,GSW,Warriors,1946,Golden State,Chase Center,19596
1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104
